Programming Language,Apr 2023,Apr 2022,Ratings(%),Change(%)
Python,1,1,14.51,+0.59
C,2,2,14.41,+1.71
Java,3,3,13.23,+2.41
C++,4,4,12.96,+4.68
C#,5,5,8.21,+1.39
Visual Basic,6,6,4.40,-1.00
JavaScript,7,7,2.10,-0.31
SQL,8,8,1.68,-0.61
PHP,9,10,1.36,-0.28
Go,10,13,1.28,+0.20
Delphi/Object Pascal,11,12,1.23,+0.05
Assembly Language,12,8,1.03,-1.31
Classic Visual Basic,13,16,0.92,+0.09
MATLAB,14,20,0.86,+0.12
Scratch,15,24,0.79,+0.13
R,16,11,0.76,-0.79
Swift,17,14,0.72,-0.28
Ruby,18,15,0.66,-0.22
Rust,19,28,0.63,+0.18
Fortran,20,31,0.59,+0.24