Programming Language,Jan 2023,Jan 2022,Ratings(%),Change(%)
Python,1,1,16.36,+2.78
C,2,2,16.26,+3.82
C++,3,4,12.91,+4.62
Java,4,3,12.21,+1.55
C#,5,5,5.73,+0.05
Visual Basic,6,6,4.64,-0.10
JavaScript,7,7,2.87,+0.78
SQL,8,9,2.50,+0.70
Assembly Language,9,8,1.60,-0.25
PHP,10,11,1.39,-0.00
Swift,11,10,1.20,-0.21
Go,12,13,1.14,+0.10
R,13,12,1.04,-0.21
Classic Visual Basic,14,15,0.98,+0.01
MATLAB,15,16,0.91,-0.05
Ruby,16,18,0.80,-0.08
Delphi/Object Pascal,17,14,0.73,-0.27
Rust,18,26,0.61,+0.11
Perl,19,20,0.59,-0.12
Scratch,20,23,0.58,-0.01