Programming Language,Mar 2023,Mar 2022,Ratings(%),Change(%)
Python,1,1,14.83,+0.57
C,2,2,14.73,+1.67
Java,3,3,13.56,+2.37
C++,4,4,13.29,+4.64
C#,5,5,7.17,+1.25
Visual Basic,6,6,4.75,-1.01
JavaScript,7,7,2.17,+0.09
SQL,8,10,1.95,+0.11
PHP,9,8,1.61,-0.30
Go,10,13,1.24,+0.26
Assembly Language,11,9,1.11,-0.79
MATLAB,12,15,1.08,+0.28
Delphi/Object Pascal,13,12,1.06,-0.06
Scratch,14,23,1.00,+0.47
Classic Visual Basic,15,17,0.98,+0.38
R,16,11,0.93,-0.44
Fortran,17,30,0.79,+0.40
Ruby,18,16,0.76,+0.10
Rust,19,26,0.73,+0.22
Swift,20,14,0.71,-0.20